Source,Subtopic1,Subtopic2,Swedish,SwedishExample,en_Word,en_Example,es_Word,es_Example,fa_Word,fa_Example,el_Word,el_Example,uk_Word,uk_Example,ru_Word,ru_Example,hi_Word,hi_Example,bn_Word,bn_Example,sq_Word,sq_Example,tr_Word,tr_Example,ms_Word,ms_Example,fil_Word,fil_Example
Carmine,Klassord,20th Nov,Inledningen,Inledningen var mycket intressant och spännande,The introduction / beginning / opening,The introduction was very interesting and exciting,Introducción / prefacio / prólogo,La introducción fue muy interesante y emocionante.,مقدمه / آغاز / شروع,مقدمه بسیار جالب و هیجان‌انگیز بود,Εισαγωγή / Πρόλογος,Η εισαγωγή ήταν πολύ ενδιαφέρουσα και συναρπαστική,вступ / початок / передмова,Вступ був дуже цікавим і захоплюючим.,введение / начало,Введение было очень интересным и захватывающим.,परिचय / शुरुआत,प्रस्तावना बहुत रोचक और रोमांचक थी।,সূচনা / প্রস্তাবনা / মুখবন্ধ,ভূমিকাটি খুবই আকর্ষণীয় এবং উত্তেজনাপূর্ণ ছিল,Hyrja / Parathënia,Hyrja ishte shumë interesante dhe emocionuese,giriş / başlangıç,Giriş çok ilginç ve heyecan vericiydi,Pengenalan / permulaan / pendahuluan,Pengenalan itu sangat menarik dan mengujakan,Panimula / Introduksyon,Ang introduksyon ay napaka-interesante at kapana-panabik
Carmine,Klassord,20th Nov,lägga ner,Företaget måste lägga ner fabriken,close down / abandon / shut down,The company must close the factory,cerrar / shut down / close down,La empresa debe cerrar la fábrica,بستن / تعطیل کردن,شرکت باید کارخانه را تعطیل کند,βάζω κάτω / διακόπτω,Η εταιρεία πρέπει να κλείσει το εργοστάσιο,закрити / close down / abandon,Компанія повинна закрити фабрику.,закрыть / закрыть / прекратить,Компания должна закрыть завод,बंद कर देना / छोड़ देना,कंपनी को फैक्ट्री बंद करनी होगी,বন্ধ করা / পরিত্যাগ করা / ছেড়ে দেওয়া,কোম্পানিকে অবশ্যই কারখানা বন্ধ করতে হবে,mbyll / braktis / shkarko,Kompania duhet të mbyllë fabrikën,kapatmak; bırakmak / son vermek,Şirket fabrikayı kapatmak zorunda.,menutup / menghentikan / memberhentikan,Syarikat itu mesti menutup kilang.,isara / itigil,Kailangan isara ng kumpanya ang pabrika.
Carmine,Klassord,20th Nov,bero på,Det kan bero på lågkonjunkturen.,depend on / be caused by / lie with,It may be due to the recession.,depender de (to depend on) / ser causado por (to be caused by) / ser determinado por,Puede ser debido a la recesión.,بستگی داشتن / منوط بودن,این ممکن است به دلیل رکود اقتصادی باشد.,εξαρτάται / οφείλεται / αποδίδεται,Μπορεί να οφείλεται στην ύφεση.,залежати / бути обумовленим,Це може бути через рецесію.,зависеть от / обуславливаться / определяться,Это может быть связано с рецессией.,निर्भर करना,यह मंदी के कारण हो सकता है।,নির্ভর করা / নির্ভর করা / নির্ভর করা,এটা মন্দার কারণে হতে পারে।,varet nga / varet prej,Kjo mund të jetë për shkak të recesionit.,bağlı olmak / dayanmak,Durgunluktan kaynaklanıyor olabilir.,bergantung / bergantung kepada / bersandar pada,Ia mungkin disebabkan oleh kemelesetan ekonomi.,nakasalalay / depende,Maaaring dahil ito sa recession.
Carmine,Klassord,20th Nov,Mest,Jag gillar glass mest,most / mostly / mainly,I like ice cream the most,Más / Mayoría / La mayor parte,Me gusta más el helado,بیشترین / اکثر,من بستنی را بیشتر از همه دوست دارم,περισσότερα; primarily / mainly,Μου αρέσει περισσότερο το παγωτό,найбільше / найбільш / більшість,Я найбільше люблю морозиво,больше всего / главным образом,Я больше всего люблю мороженое.,सबसे / ज़्यादातर,मुझे आइसक्रीम सबसे ज्यादा पसंद है,Most / maximum / greatest,আমি সবচেয়ে বেশি আইসক্রিম পছন্দ করি,më së shumti / kryesisht,Më pëlqen më shumë akullorja,çoğu / ekseriya,En çok dondurmayı severim,paling / majoriti / terbanyak,Saya paling suka ais krim,pinakamarami / pinaka,Pinakagusto ko ang ice cream.
Carmine,Klassord,20th Nov,Pinsamt,Det var pinsamt att jag glömde namnet,Embarrassing / Awkward / Cringeworthy,It was embarrassing that I forgot the name,embarazoso / vergonzoso / humillante,Fue vergonzoso que olvidara el nombre,شرم آور / خجالت آور,شرم آور بود که اسم را فراموش کردم.,επαίσχυντος / ντροπιαστικός,Ήταν ντροπιαστικό που ξέχασα το όνομα,Незручний / Соромний / Ніловкий,Мені було соромно / що я забув ім'я.,смущающий / неловкий / затруднительный,Мне было неловко / что я забыл имя.,शर्मिंदा करने वाला / अजीब / awkward / embarrassing,मुझे नाम भूल जाना शर्मनाक था।,লজ্জাজনক / বিব্রতকর / অস্বস্তিকর,নামটা ভুলে যাওয়াটা আমার জন্য বিব্রতকর ছিল।,e turpshme / i sikletshëm,Ishte turp që e harrova emrin,Utanç verici / Mahcup edici,Adını unutmam utanç vericiydi.,memalukan / janggal / susah,Saya rasa malu kerana saya terlupa nama itu,nakakahiya / kahiya-hiya,Nahihiya ako na nakalimutan ko ang pangalan
Carmine,Klassord,20th Nov,Ombud,Hans juridiska ombud var mycket kunnig.,representative / attorney / agent,His legal representative was very knowledgeable.,defensor del pueblo / mediador / ombudsman,Su representante legal era muy competente.,نماینده / وکیل,وکیل حقوقی او بسیار آگاه بود.,αντιπρόσωπος / πληρεξούσιος / εκπρόσωπος,Ο νομικός του εκπρόσωπος ήταν πολύ έμπειρος.,омбудсмен / уповноважений / чиновник,Його юрисконсульт був дуже обізнаний.,представитель / агент,Его юрисконсульт был очень компетентен.,लोकपाल / प्रतिनिधि / अभिकर्ता,उनका कानूनी प्रतिनिधि बहुत जानकार था।,ন্যায়পাল regulator / auditor,তার আইনি পরামর্শদাতা খুব জ্ঞানী ছিলেন।,Avokati i popullit / Përfaqësues / Agjent,Avokati i tij ishte shumë i ditur.,kamu denetçisi / dert dinleyici,Hukuk danışmanı çok bilgiliydi.,ombudsman / mediator / representative,Peguamnya sangat berpengetahuan.,Kinatawan / Ahente,Ang kanyang legal na kinatawan ay napakahusay.
Carmine,Klassord,20th Nov,Yrkesverksam,Hon är yrkesverksam som läkare,active / working / employed,She is professionally active as a doctor,activo / en ejercicio,Ella es una profesional activa como médica,شاغل / فعال / کاری,او به عنوان یک پزشک مشغول به کار است,επαγγελματίας / εργαζόμενος,Είναι επαγγελματίας γιατρός (Í̱ne epangelmatí̱as giatró̱s),працюючий / зайнятий / діючий,Вона працює лікарем,Работающий / Действующий,Она работает врачом,कार्यरत / सेवारत,वह एक कार्यरत चिकित्सक है।,পেশাজীবী / কর্মরত / সক্রিয়,তিনি একজন অনুশীলনকারী ডাক্তার।,Profesional / Aktiv,Ajo është një mjeke aktive.,Çalışan / meslek sahibi,O bir doktor olarak çalışıyor,berkerja / aktif / giat,Dia seorang doktor yang bekerja.,propesyonal / nagtatrabaho / empleyado,Siya ay nagtatrabaho bilang isang doktor.
Carmine,Klassord,20th Nov,fånga,Jag vill fånga en fisk,catch / capture / trap,I want to catch a fish,capturar / apresar / coger,Quiero pescar un pez,گرفتن / شکار کردن,من می خواهم یک ماهی بگیرم,σύλληψη / αιχμαλωτίζω / καταλαμβάνω,Θέλω να πιάσω ένα ψάρι,спіймати / захопити / упіймати,Я хочу зловити рибу,поймать / схватить,Я хочу поймать рыбу,पकड़ना / कैद करना,मैं एक मछली पकड़ना चाहता हूँ।,ধরা / আটক / গ্রেপ্তার,আমি একটি মাছ ধরতে চাই,kap / zë / mbërthej,Unë dua të kap një peshk,yakalamak tutmak / ele geçirmek,Bir balık yakalamak istiyorum.,menangkap / catch / capture,Saya mahu menangkap ikan,mahuli / dumakip,Gusto kong manghuli ng isda
Carmine,Klassord,20th Nov,ännu,Jag har ännu inte ätit middag,yet / still / even,I have not eaten dinner yet,todavía / aún / siquiera,Todavía no he cenado.,هنوز / still / yet,من هنوز شام نخورده ام,ακόμη / ακόμα,Δεν έχω φάει ακόμα βραδινό.,ще / досі / поки що,Я ще не вечеряв.,ещё / пока,Я еще не ужинал(а),अभी / तक,मैंने अभी तक रात का खाना नहीं खाया है।,এখনও / আর,আমি এখনও রাতের খাবার খাইনি,ende / akoma,Unë ende nuk kam ngrënë darkë,henüz / hala,Henüz akşam yemeği yemedim,lagi / masih / jua,Saya belum makan malam lagi.,pa / pa rin,Hindi pa ako kumakain ng hapunan
Ingrid,Klassord,12th Nov,Du behöver inte dammsuga idag.,Jag vill dammsuga imorgon.,You don't need to vacuum today. / You don't have to vacuum today.,I want to vacuum tomorrow.,pasar la aspiradora / aspirar,Quiero aspirar mañana.,نیازی نیست امروز جاروبرقی بکشی. / لازم نیست امروز جاروبرقی بکشی.,من می خواهم فردا جاروبرقی بکشم.,,Θέλω να σκουπίσω με την ηλεκτρική σκούπα αύριο.,Вам не потрібно пилососити сьогодні. чистити пилососом / прибирати пилососом,Я хочу пропилососити завтра.,Тебе не нужно пылесосить сегодня. / Тебе не нужно подметать сегодня.,Я хочу пропылесосить завтра.,आज आपको वैक्यूम करने की आवश्यकता नहीं है / आज वैक्यूम क्लीनर का उपयोग करने की आवश्यकता नहीं है,मैं कल वैक्यूम करना चाहता हूँ।,আপনার আজ ভ্যাকুয়াম করার দরকার নেই / You do not need to vacuum today,আমি কাল ভ্যাকুয়াম করতে চাই।,Sot nuk ke nevojë të pastrosh me fshesë me korrent / Nuk të duhet fshesa me korrent sot,Dua të fshij me fshesë me korrent nesër.,Bugün süpürmen gerekmiyor. (süpürmek: temizlemek / silmek),Yarın elektrik süpürgesi çekmek istiyorum.,Anda tidak perlu menyedut hampagas hari ini. suga rent / dammsuga upp,Saya mahu mengemas esok.,Hindi mo kailangang mag-vacuum ngayon. / You do not need to vacuum today,Gusto kong mag-vacuum bukas.
