Source,Subtopic1,Subtopic2,WordType,Swedish,SwedishExample,en_Word,en_Example,es_Word,es_Example,fa_Word,fa_Example,el_Word,el_Example,uk_Word,uk_Example,ru_Word,ru_Example,hi_Word,hi_Example,bn_Word,bn_Example,sq_Word,sq_Example,tr_Word,tr_Example,ms_Word,ms_Example,fil_Word,fil_Example,Present,PresentTranslation,PresentExample,PresentExampleTranslation,Preteritum,PreteritumTranslation,PreteritumExample,PreteritumExampleTranslation,Supinium,SupiniumTranslation,SupiniumExample,SupiniumExampleTranslation,ID,SwedishExampleNote,PresentExampleNote,PreteritumExampleNote,SupiniumExampleNote
Kelly List,A1,1 to 100,Adjective,Analog,Jag föredrar en analog klocka framför en digital.,"analogous, similar, comparable",I prefer an analog clock over a digital one.,"ellos, ellas, los, las",Ellos fueron al parque juntos.,آن‌ها، آن، ایشان,آن‌ها با هم به پارک رفتند.,"αυτοί, αυτές, αυτά",Πήγαν στο πάρκο μαζί.,"вони, ті, ці",Вони пішли до парку разом.,"они, те",Они пошли в парк вместе.,"वे, वो, उन्होंने",वे साथ में पार्क गए।,"তারা, ওগুলো, এগুলো",তারা একসাথে পার্কে গিয়েছিল।,"ata, ato",Ata shkuan në park bashkë.,"onlar, bunları, şunları",Parka birlikte gittiler.,"mereka, itu, ini",Mereka pergi ke taman bersama-sama.,"sila-sila, sila, nila",Pumunta sila sa parke nang magkasama.,,,,,,,,,,,,,1
Kelly List,A1,1 to 100,Adjective,Bra,Det är en mycket bra film.,"good, fine, well",It is a very good movie.,país,Suecia es un país hermoso con mucho bosque.,کشور,سوئد کشوری زیبا با جنگل‌های فراوان است.,χώρα,Η Σουηδία είναι μια όμορφη χώρα με πολύ δάσος.,"країна, держава, нація",Швеція — це красива країна з великою кількістю лісів.,"страна, государство, край",Швеция — красивая страна с большим количеством лесов.,"देश, राज्य, राष्ट्र",स्वीडन बहुत सारे जंगलों वाला एक खूबसूरत देश है।,"দেশ, রাষ্ট্র, জাতি",সুইডেন প্রচুর বনভূমি সমৃদ্ধ একটি সুন্দর দেশ।,"vend, shtet, kombbësi",Suedia është një vend i bukur me shumë pyje.,"ülke, ulus, devlet",İsveç çok ormanı olan güzel bir ülkedir.,"negara, negeri, tanah",Sweden adalah sebuah negara yang indah dengan banyak hutan.,"bansa, estado, nasyon",Ang Sweden ay isang magandang bansa na may maraming kagubatan.,,,,,,,,,,,,,2
Kelly List,A1,1 to 100,Adjective,Lite,"Jag skulle vilja ha lite kaffe, tack.","little, bit, slightly","I would like a little coffee, please.",saber,No sé cómo se llama.,دانستن، فهمیدن، درک کردن,من نمی‌دانم نام او چیست.,"γνωρίζω, ξέρω, καταλαβαίνω",Δεν ξέρω πώς τον λένε.,"знати, відати, усвідомлювати","Я не знаю, як його звати.",знать,"Я не знаю, как его зовут.","जानना, मालूम होना, पता होना",मुझे नहीं पता कि उसका नाम क्या है।,"জানা, বোঝা, উপলব্ধি করা",আমি জানি না তার নাম কী।,"di, njoh, kuptoj",Nuk e di si e ka emrin.,"bilmek, anlamak, farkına varmak",Adının ne olduğunu bilmiyorum.,"tahu, mengerti, faham",Saya tidak tahu siapa nama beliau.,"malaman, alam, batid",Hindi ko alam kung ano ang pangalan niya.,,,,,,,,,,,,,3
Kelly List,A1,1 to 100,Adjective,Liten,Jag bor i en liten lägenhet i staden.,"small, little, tiny",I live in a small apartment in the city.,"nosotros, nosotras",Vamos al cine esta noche.,ما,ما امشب به سینما می‌رویم.,εμείς,Θα πάμε σινεμά απόψε.,ми,Сьогодні ввечері ми підемо в кіно.,мы,Сегодня вечером мы пойдем в кино.,"हम, हम लोग, हम स्वयं",हम आज रात सिनेमा जा रहे हैं।,"আমরা, আমরা নিজেরা, আমাদেরও",আমরা আজ রাতে সিনেমা দেখতে যাচ্ছি।,"ne, ne vetë, ne të gjithë",Ne do të shkojmë në kinema sonte.,biz,Bu akşam sinemaya gideceğiz.,"kita, kami",Kami akan pergi ke pawagam malam ini.,"kami, tayo",Pupunta kami sa sinehan ngayong gabi.,,,,,,,,,,,,,4
Kelly List,A1,1 to 100,Adjective,Ny,Jag har köpt en ny bil.,"new, modern, fresh",I have bought a new car.,entero,Toda la familia se reunió para celebrar su cumpleaños.,کامل,همه خانواده برای جشن گرفتن تولد او گرد هم آمدند.,"ολόκληρος, ολάκερος, πλήρης",Ολόκληρη η οικογένεια συγκεντρώθηκε για να γιορτάσει τα γενέθλιά του.,"цілий, весь, повний","Уся родина зібралася, щоб відсвяткувати його день народження.","весь, целый, полный","Вся семья собралась, чтобы отпраздновать его день рождения.","पूरा, संपूर्ण, सारा",उसका जन्मदिन मनाने के लिए पूरा परिवार इकट्ठा हुआ।,"পুরো, সমস্ত, পূর্ণসমূহ",তাঁর জন্মদিন উদযাপনের জন্য পুরো পরিবার একত্রিত হয়েছিল।,"i tërë, i plotë, gjithë",E gjithë familja u mblodh për të festuar ditëlindjen e tij.,"bütün, tüm, tam",Tüm aile onun doğum gününü kutlamak için toplandı.,"seluruh, segenap, seantero",Seluruh keluarga berkumpul untuk meraikan hari lahirnya.,"buo, kabuuan, lahat",Nagtipon ang buong pamilya para ipagdiwang ang kanyang kaarawan.,,,,,,,,,,,,,5
Kelly List,A1,1 to 100,Adjective,Stor,Huset vi bor i är väldigt stort.,"large, big, great",The house we live in is very big.,solo,Solo toma cinco minutos caminar hasta la estación.,فقط,تا ایستگاه کلاً پنج دقیقه پیاده‌روی است.,μόνο,Χρειάζονται μόνο πέντε λεπτά για να πάτε στον σταθμό με τα πόδια.,"тільки, лише, просто",Дійди до станції займає лише п'ять хвилин пішки.,"только, всего лишь, просто",Дойти до станции занимает всего пять минут.,"केवल, मात्र, सिर्फ़",स्टेशन तक पैदल जाने में केवल पाँच मिनट लगते हैं।,"শুধুমাত্র, কেবল, শুধু",স্টেশনে যেতে মাত্র পাঁচ মিনিট সময় লাগে।,"vetëm, thjesht",Duhen vetëm pesë minuta për të ecur deri në stacion.,"sadece, yalnızca, sırf",İstasyona yürümek sadece beş dakika sürer.,"hanya, cuma, sahaja",Ia hanya mengambil masa lima minit untuk berjalan ke stesen.,"lamang, lang",Limang minuto lang ang lakad papunta sa istasyon.,,,,,,,,,,,,,6
Kelly List,A1,1 to 100,Adverb,Även,"Han talar inte bara svenska, utan även engelska.","also, even, furthermore","He speaks not only Swedish, but also English.","dejar, permitir, autorizar",Ella dejó que los niños jugaran en el jardín.,اجازه دادن، گذاشتن,او اجازه داد بچه‌ها در باغ بازی کنند.,"επιτρέπω, αφήνω",Άφησε τα παιδιά να παίξουν στον κήπο.,"дозволяти, пускати, давати змогу",Вона дозволила дітям гратися в саду.,"позволять, разрешать, допускать",Она позволила детям играть в саду.,"देना, अनुमति देना, इजाजत देना",उसने बच्चों को बगीचे में खेलने दिया।,"অনুমতি দেওয়া, করতে দেওয়া, হতে দেওয়া",সে বাচ্চাদের বাগানে খেলতে দিয়েছিল।,"lejoj, lë, miratoj",Ajo i la fëmijët të luanin në kopsht.,"izin vermek, bırakmak, müsaade etmek",Çocukların bahçede oynamasına izin verdi.,"biarkan, membiarkan, izinkan",Dia membiarkan kanak-kanak bermain di taman.,"pabayaan, payagan, pahintulutan",Pinahintulutan niya ang mga bata na maglaro sa hardin.,,,,,,,,,,,,,7
Kelly List,A1,1 to 100,Adverb,Bara,Det tar bara fem minuter att gå till stationen.,"only, merely, simply",It only takes five minutes to walk to the station.,"parecer, verse, presentarse",Parece ser una buena idea.,به نظر رسیدن، نمودار شدن، جلوه کردن,به نظر می‌رسد که ایده خوبی باشد.,φαίνομαι,Φαίνεται να είναι μια καλή ιδέα.,"здаватися, виглядати, представлятися",Це здається гарною ідеєю.,казаться,Это кажется хорошей идеей.,"प्रतीत होना, लगना, दिखाई पड़ना",यह एक अच्छा विचार लग रहा है।,"মনে হওয়া, প্রতীয়মান হওয়া, দেখা যাওয়া",এটি একটি ভালো ধারণা বলে মনে হচ্ছে।,"dukem, paraqitem, ngjaj",Duket se është një ide e mirë.,"görünmek, gözükmek, belirmek",İyi bir fikir gibi görünüyor.,"kelihatan, nampak, tampak",Ia nampaknya satu idea yang baik.,"tila, mukhang, parang",Tila ito ay isang magandang ideya.,,,,,,,,,,,,,8
Kelly List,A1,1 to 100,Adverb,Då,Vad hände då?,"then, so, therefore",What happened then?,"dar, entregar, otorgar",Ella le dio un regalo por su cumpleaños.,دادن,او در روز تولدش به او هدیه‌ای داد.,δίνω,Της έδωσε ένα δώρο για τα γενέθλιά της.,"давати, надавати, дарувати",Вона подарувала йому подарунок на день народження.,"давать, предоставлять, предлагать",Она подарила ему подарок на день рождения.,"देना, प्रदान करना, अर्पित करना",उसने उसे उसके जन्मदिन पर एक उपहार दिया।,"দেওয়া, প্রদান করা, উপহার দেওয়া",সে তার জন্মদিনে তাকে একটি উপহার দিয়েছিল।,"jap, japë, dhuroj",Ajo i dha atij një dhuratë për ditëlindjen e tij.,"vermek, sunmak, sağlamak",Doğum gününde ona bir hediye verdi.,"memberi, menyediakan, menawarkan",Dia memberikan hadiah kepadanya pada hari jadinya.,"magbigay, magkaloob, iabot",Binigyan niya siya ng regalo sa kanyang kaarawan.,,,,,,,,,,,,,9
Kelly List,A1,1 to 100,Adverb,Där,Vem är det som står där?,"there, over there, yonder",Who is that standing there?,sobre,El libro está en la mesa sobre el periódico.,روی، بالای، بیش از,کتاب روی میز روی روزنامه قرار دارد.,πάνω,Το βιβλίο βρίσκεται πάνω στο τραπέζι πάνω από την εφημερίδα.,"над, понад, через",Книга лежить на столі поверх газети.,"над, поверх",Книга лежит на столе поверх газеты.,"ऊपर, के ऊपर, पार",किताब अखबार के ऊपर मेज पर रखी है।,"উপরে, ওপরে, আড়াআড়িভাবে",বইটি টেবিলের ওপর খবরের কাগজের ওপরে আছে।,"mbi, sipër, përmbi",Libri është mbi tavolinë sipër gazetës.,"üzerinde, üstünde, yukarısında",Kitap masanın üzerinde gazetenin üstünde duruyor.,"atas, di atas, melampaui",Buku itu berada di atas meja di atas surat khabar.,"sa ibabaw, sa, higit sa",Ang libro ay nasa ibabaw ng mesa sa itaas ng diyaryo.,,,,,,,,,,,,,10
