Source,Subtopic1,Subtopic2,Swedish,SwedishExample,en_Word,en_Example,es_Word,es_Example,fa_Word,fa_Example,el_Word,el_Example,uk_Word,uk_Example,ru_Word,ru_Example,hi_Word,hi_Example,bn_Word,bn_Example,sq_Word,sq_Example,tr_Word,tr_Example,ms_Word,ms_Example,fil_Word,fil_Example
Kelly List,A1,001-100,och (vardagl. å; förk. o.),Jag äter ett äpple och dricker vatten.,"and, also, plus",I am eating an apple and drinking water.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,"att vara (vardagl. va) Imp: var, Pr: är, Pa: var, Sup: varit",Det kommer att vara soligt imorgon.,"be, exist, remain",It will be sunny tomorrow.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,i,Jag bor i en liten lägenhet i Stockholm.,"in, inside, within",I live in a small apartment in Stockholm.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,"att ha Imp: ha, Pr: har, Pa: hade, Sup: haft",Jag har en hund.,"have, possess, own",I have a dog.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,dess,Huset och dess trädgård är mycket vackra.,"its, his, hers",The house and its garden are very beautiful.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,det,Det är en vacker dag.,"it, this, that",It is a beautiful day.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,som,Det är boken som jag läser just nu.,"that, which, who",It is the book that I am reading right now.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,på,Boken ligger på bordet.,"on, upon, atop",The book is on the table.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,av,Boken är skriven av en känd författare.,"of, from, by",The book is written by a famous author.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,för,Det här är en present för dig.,"for, because, since",This is a gift for you.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,att,Jag hoppas att vi ses snart.,"that, so, because",I hope that we see each other soon.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,"att kunna Imp: kunna, Pr: kan, Pa: kunde, Sup: kunnat",Jag kan prata svenska.,"can, able, manage",I can speak Swedish.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,skola,Barnen går till skolan varje morgon.,"shall, will, must",The children go to school every morning.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,"inte (formellt: icke, ej)",Jag talar inte svenska.,"not, no, never",I do not speak Swedish.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,till,Jag går till skolan varje dag.,"to, toward, until",I go to school every day.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,liten,Jag bor i en liten lägenhet i staden.,"small, little, tiny",I live in a small apartment in the city.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,ett,Jag har ett rött hus.,"one, single, solitary",I have a red house.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,"att unna Imp: unna, Pr: unnar, Pa: unnade, Sup: unnat",Du borde unna dig en massage efter en lång arbetsvecka.,"treat, indulge, afford",You should treat yourself to a massage after a long work week.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,om,Han frågade om jag ville följa med.,"if, whether, about",He asked if I wanted to come along.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,vi,Vi ska gå på bio ikväll.,"we, ourselves, us",We are going to the cinema tonight.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,men,"Jag vill gå ut, men det regnar.","but, however, yet","I want to go out, but it is raining.",,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,man,Man kan aldrig vara helt säker på vad som händer i framtiden.,"one, you, people",One can never be completely sure of what happens in the future.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,de (vardagl. dom),De gick till parken tillsammans.,"the, those, these",They went to the park together.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,"att få Imp: få, Pr: får, Pa: fick, Sup: fått",Jag fick en present av min vän.,"get, receive, obtain",I received a gift from my friend.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,sig (vardagl. sej),Han tvättar sig varje morgon.,"himself, herself, itself",He washes himself every morning.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,han,Han läser en spännande bok.,"he, him, himself",He is reading an exciting book.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,"att bli Imp: bli, Pr: blir, Pa: blev, Sup: blivit",Han vill bli läkare när han blir stor.,"become, get, turn",He wants to become a doctor when he grows up.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,"att komma Imp: kom, Pr: kommer, Pa: kom, Sup: kommit",När kommer tåget till stationen?,"come, arrive, reach",When is the train arriving at the station?,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,det,Det är min bok.,"it, this, that",That is my book.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,eller,Vill du ha kaffe eller te?,"or, alternatively, otherwise",Do you want coffee or tea?,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,från,Jag kommer från Sverige.,"from, since, out of",I come from Sweden.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,mycket,Tack så mycket för hjälpen.,"much, greatly, considerably",Thank you very much for the help.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,"att vilja Imp: vilja, Pr: vill, Pa: ville, Sup: velat",Jag vill resa till Sverige nästa sommar.,"want, wish, desire",I want to travel to Sweden next summer.,,,,,,,,,,,,,,,,,,,,,,
