Source,Subtopic1,Subtopic2,WordType,Swedish,SwedishExample,en_Word,en_Example,es_Word,es_Example,fa_Word,fa_Example,el_Word,el_Example,uk_Word,uk_Example,ru_Word,ru_Example,hi_Word,hi_Example,bn_Word,bn_Example,sq_Word,sq_Example,tr_Word,tr_Example,ms_Word,ms_Example,fil_Word,fil_Example,Present,PresentTranslation,PresentExample,PresentExampleTranslation,Preteritum,PreteritumTranslation,PreteritumExample,PreteritumExampleTranslation,Supinium,SupiniumTranslation,SupiniumExample,SupiniumExampleTranslation,ID,SwedishNote,PresentNote,PreteritumNote,SupiniumNote
Kelly List,Set 01,0001 to 0050,Prep,I,Boken ligger i väskan.,"in, inside, within",The book is in the bag.,"en, dentro de, por",El libro está en el bolso.,"در, داخل, درون",کتاب در کیف است.,"σε, μέσα, εντός",Το βιβλίο είναι μέσα στην τσάντα.,"в, у, всередині",Книга в сумці.,"в, внутри, во",Книга лежит в сумке.,"में, के अंदर, भीतर",किताब बैग में है।,"মধ্যে, ভিতরে, অন্তরে",বইটি ব্যাগের ভেতরে আছে।,"në, brenda, mbrenda",Libri është në çantë.,"içinde, içeri, dahilinde",Kitap çantanın içinde.,"di dalam, dalam, di",Buku itu ada di dalam beg.,"sa, nasa loob, sa loob",Nasa loob ng bag ang libro.,,,,,,,,,,,,,2197163,"GROUP: N/A # FORM: Preposition # FREQ: 10 # NUANCE: Indicates being inside a three-dimensional space or a container. It is also used for time periods and geographical locations such as cities or countries. # PART: N/A # COLL: I väskan, i stan, i Sverige, i framtiden, i sommar # REG: Neutral and used in all contexts # REFL: N/A # ERR: Learners often confuse 'i' with 'på' particularly when referring to locations like islands or certain workplaces or when discussing time where 'på' is used for days of the week.",,,
Kelly List,Set 01,0001 to 0050,Verb,Att ha,Jag har en hund och en katt.,"have, possess, own",I have a dog and a cat.,"tener, poseer, haber",Tengo un perro y un gato.,"داشتن, دارا بودن, مالک بودن",من یک سگ و یک گربه دارم.,"έχω, κατέχω, διαθέτω",Έχω έναν σκύλο και μια γάτα.,"мати, володіти, тримати",У мене є собака і кіт.,"иметь, обладать, владеть",У меня есть собака и кошка.,"होना, पास होना, रखना",मेरे पास एक कुत्ता और एक बिल्ली है।,"আছে, থাকা, অধিকার করা",আমার একটি কুকুর এবং একটি বিড়াল আছে।,"kam, posedoj, mbaj",Unë kam një qen dhe një mace.,"sahip olmak, var olmak, bulundurmak",Bir köpeğim ve bir kedim var.,"mempunyai, memiliki, ada",Saya mempunyai seekor anjing dan seekor kucing.,"meron, mayroon, magtaglay",Mayroon akong aso at pusa.,har,"have, has",Han har en röd bil.,He has a red car.,hade,had,Vi hade roligt igår.,We had fun yesterday.,haft,had,Jag har haft mycket att göra.,I have had a lot to do.,1822142,"GROUP: 4 # FORM: Infinitiv # FREQ: 10 # NUANCE: Indicates possession ownership or the state of having something. It is also a fundamental auxiliary verb used to form compound tenses. # PART: Ha kvar (keep), ha med sig (bring along), ha på sig (wear) # COLL: Ha bråttom, ha rätt, ha fel, ha lust # REG: Allmän # REFL: Nej # ERR: Learners sometimes confuse the irregular stem and attempt to use ha as a group 1 verb. "," GROUP: 4 # FORM: Presens # FREQ: 10 # NUANCE: Current possession or used as an auxiliary for the perfect tense. # PART: Har för sig (imagine/suspect) # COLL: Har tråkigt, har roligt, har ont # REG: Allmän # REFL: Nej # ERR: Often confused with the English has/have distinction but Swedish uses har for all subjects. "," GROUP: 4 # FORM: Preteritum # FREQ: 10 # NUANCE: Past possession or state. # PART: Hade sönder (broke) # COLL: Hade tur, hade otur, hade råd # REG: Allmän # REFL: Nej # ERR: Confusion between the spelling of hade and the English word had. "," GROUP: 4 # FORM: Supinum # FREQ: 10 # NUANCE: Used with har or hade to form the perfect and pluperfect tenses. # PART: Haft ihjäl (killed) # COLL: Haft framgång, haft problem # REG: Allmän # REFL: Nej # ERR: Incorrectly using the past participle havd or using hade as supinum."
Kelly List,Set 01,0001 to 0050,Pronoun,Dess,Husets färg har tappat dess lyster.,"its, their, his",The house's color has lost its luster.,"su, sus, suyo",El color de la casa ha perdido su brillo.,"آن, آن را, متعلق به آن",رنگ خانه جلالش را از دست داده است.,"του, της, αυτού",Το χρώμα του σπιτιού έχει χάσει τη λάμψη του.,"його, її, їхній",Колір будинку втратив свій блиск.,"его, ее, их",Цвет дома потерял свой блеск.,"इसका, उसका, उनका",घर के रंग ने अपनी चमक खो दी है।,"তার, ইহার, ওটার",বাড়ির রঙ তার উজ্জ্বলতা হারিয়েছে।,"e tij, i saj, i tyre",Ngjyra e shtëpisë ka humbur shkëlqimin e saj.,"onun, bunun, şunun",Evin rengi parlaklığını kaybetti.,"ia, nya, kepunyaan",Warna rumah itu telah hilang serinya.,"nito, niyan, kaniya",Nawala na ang kintab ng kulay ng bahay.,,,,,,,,,,,,,1816701,"GROUP: N/A # FORM: 6 # FREQ: 8 # NUANCE: Refers to the genitive form of 'den' or 'det' used as a possessive pronoun for inanimate objects or animals. It translates to 'its' or 'their' and avoids ambiguity when the subject of the clause is not the owner. # PART: N/A # COLL: Dessvärre, dessförinnan, till dess att, dess baksida # REG: Formal to neutral # REFL: N/A # ERR: Learners often confuse 'dess' with the reflexive possessive 'sin' or use the personal pronoun 'hans' or 'hennes' for non-human entities. They may also add an unnecessary apostrophe like in English.",,,
Kelly List,Set 01,0001 to 0050,Pronoun,Det,Det är en vacker dag idag.,"it, that, this",It is a beautiful day today.,"eso, esto, lo",Es un día hermoso hoy.,"آن, این, همان",امروز روز زیبایی است.,"αυτό, εκείνο, το",Είναι μια όμορφη μέρα σήμερα.,"це, воно, то",Сьогодні гарний день.,"это, то, оно",Сегодня прекрасный день.,"वह, यह, उसे",आज एक सुंदर दिन है।,"এটি, ওটি, তা",আজ একটি সুন্দর দিন।,"ai, ajo, këtë",Sot është një ditë e bukur.,"o, bu, şu",Bugün güzel bir gün.,"ia, itu, ini",Hari ini hari yang indah.,"ito, iyan, hayun",Maganda ang araw ngayon.,,,,,,,,,,,,,1662413,"GROUP: N/A # FORM: 1 # FREQ: 10 # NUANCE: Functions as a third-person singular neuter pronoun (it), a demonstrative pronoun (that), or a formal subject in impersonal constructions. It is essential for sentence structure in Swedish where English might omit a subject or use 'there'. # PART: N/A # COLL: Det är, Det finns, Det här, Det där # REG: Universal usage across all registers from casual speech to formal writing # REFL: N/A # ERR: Learners often confuse 'det' with 'den' (en-word pronoun) or forget to use it as a dummy subject in phrases like 'Det regnar' (It is raining). Some also struggle with its pronunciation, as the 't' is usually silent.",,,
Kelly List,Set 01,0001 to 0050,Pronoun,Det,Det är en vacker dag idag.,"it, that, this",It is a beautiful day today.,"ello, eso, esto",Es un día hermoso hoy.,"آن, این, آن مطلب",امروز روز زیبایی است.,"αυτό, εκείνο, τούτο",Είναι μια όμορφη μέρα σήμερα.,"це, воно, то",Сьогодні гарний день.,"это, оно, то",Сегодня прекрасный день.,"यह, वह, वो",आज एक खूबसूरत दिन है।,"এটি, সেটা, উহা",আজ একটি সুন্দর দিন।,"ai, kjo, këtë",Sot është një ditë e bukur.,"o, bu, şu",Bugün güzel bir gün.,"ia, itu, ini",Ia adalah hari yang indah hari ini.,"ito, iyan, iyon",Ito ay isang magandang araw ngayon.,,,,,,,,,,,,,1662413,"GROUP: N/A # FORM: Pronoun # FREQ: 10 # NUANCE: Functions as a neuter personal pronoun or a formal subject (dummy subject) in sentences about weather or states. It also acts as a definite article for neuter nouns. # PART: N/A # COLL: Det är, vad är det, det där, det här # REG: Universal # REFL: N/A # ERR: Learners often omit it as a placeholder at the start of sentences or confuse it with den based on the noun's gender.",,,
Kelly List,Set 01,0001 to 0050,Det,En,Jag har en hund.,"a, an, one",I have a dog.,"un, una, uno",Tengo un perro.,"یک, یکی, واحد",من یک سگ دارم.,"ένας, μία, ένα",Έχω έναν σκύλο.,"один, одна, одне",У мене є один собака.,"один, одна, одно",У меня есть одна собака.,"एक, कोई, प्रति",मेरे पास एक कुत्ता है।,"একটি, এক, কোনো",আমার একটি কুকুর আছে।,"një, ndonjë, njëri",Unë kam një qen.,"bir, tek, yegane",Bir köpeğim var.,"sebuah, suatu, sebutir",Saya mempunyai seekor anjing.,"isang, isa, bawat",Mayroon akong isang aso.,,,,,,,,,,,,,1654320,"GROUP: N/A # FORM: Indefinite article and numeral # FREQ: 10 # NUANCE: Serves as the indefinite article for common gender nouns and represents the number one. It is used to introduce new or non-specific entities into a conversation. # PART: N/A # COLL: En gång, en dag, en människa, en del # REG: Universal register used in all spoken and written contexts # REFL: N/A # ERR: The most frequent mistake is gender confusion between en and ett. Students also often use the article before professions or nationalities where Swedish typically omits it such as saying jag är en student instead of jag är student.",,,
Kelly List,Set 01,0001 to 0050,Det,En,En hund springer i parken.,"a, an, one",A dog is running in the park.,"un, uno, una",Un perro corre en el parque.,"یک, عدد, واحد",یک سگ در پارک می‌دود.,"ένας, μία, ένα",Ένας σκύλος τρέχει στο πάρκο.,"один, якась, якийсь",Один собака біжить у парку.,"один, некий, какой-то",Собака бежит в парке.,"एक, कोई, अकेला",पार्क में एक कुत्ता दौड़ रहा है।,"একটি, এক, কোনো",একটি কুকুর পার্কে দৌড়াচ্ছে।,"një, ndonjë, njëri",Një qen po vraponte në park.,"bir, herhangi bir, tek",Parkta bir köpek koşuyor.,"sebuah, seekor, satu",Seekor anjing sedang berlari di taman.,"isang, isa, bawat",Isang aso ang tumatakbo sa parke.,,,,,,,,,,,,,1654320,"GROUP: N/A # FORM: Indefinite article # FREQ: 10 # NUANCE: Used as an indefinite article for common gender nouns (en-words) or as the numeral one. It indicates a non-specific single item or person. # PART: N/A # COLL: En dag, en gång, en man, en kvinna, en vän # REG: Universal usage across all spoken and written registers # REFL: N/A # ERR: Students often confuse 'en' with 'ett' (the neuter article) or mistakenly use it before plural nouns. Some also struggle with when to omit the article such as when discussing professions or nationalities without an adjective.",,,
Kelly List,Set 01,0001 to 0050,Pronoun,Som,Det var den filmen som jag såg igår.,"that, which, who",That was the movie that I saw yesterday.,"que, el cual, la cual",Esa fue la película que vi ayer.,"که, کدامی, چه",آن فیلمی بود که دیروز دیدم.,"που, ο οποίος, η οποία",Αυτή ήταν η ταινία που είδα χθες.,"який, що, котрий","Це був той фільм, який я бачив учора.","который, что, какой","Это был тот фильм, который я видел вчера.","जो, जिसे, जिसने",वह वही फिल्म थी जो मैंने कल देखी थी।,"যে, যা, যিনি",এটি সেই সিনেমা ছিল যা আমি গতকাল দেখেছি।,"që, i cili, e cila",Ky ishte filmi që pashë dje.,"ki, hangisi, o",Dün izlediğim film buydu.,"yang, yang mana, bahawasanya",Itulah filem yang saya tonton semalam.,"na, na siyang, na si",Iyon ang pelikulang napanood ko kahapon.,,,,,,,,,,,,,1451792,"GROUP: N/A # FORM: Pronoun # FREQ: 10 # NUANCE: Functions as a relative pronoun to connect a subclause to a noun or pronoun in the main clause. It can also function as a preposition or conjunction meaning like or as. # PART: N/A # COLL: Den som, det som, precis som, som om # REG: Universal across all registers from casual speech to academic writing # REFL: N/A # ERR: Learners often use it as a subject in subclauses where it is already the object or vice versa. Another common error is using 'vilket' or 'vem' as relative pronouns when 'som' is the correct choice in Swedish.",,,
Kelly List,Set 01,0001 to 0050,Pronoun,Som,Det var en man som jag inte kände igen.,"that, which, who",It was a man whom I did not recognize.,"que, el cual, la cual",Era un hombre al que no reconocí.,"که, کَسیکه, آنچه",مردی بود که من او را نمی‌شناختم.,"που, ο οποίος, η οποία",Ήταν ένας άντρας που δεν τον αναγνώρισα.,"що, який, котрий","Це був чоловік, якого я не впізнав.","который, что, кто","Это был человек, которого я не узнал.","जो, जिसने, जिसे",वह एक ऐसा आदमी था जिसे मैंने नहीं पहचाना।,"যে, যা, যিনি",এটি এমন একজন লোক ছিল যাকে আমি চিনতে পারিনি।,"që, i cili, e cila",Ishte një burrë të cilin nuk e njoha.,"ki, o, hangi",Tanımadığım bir adamdı.,"yang, mana, bahawa",Dia adalah seorang lelaki yang saya tidak kenali.,"na, na siyang, kung saan",Isa siyang lalaki na hindi ko nakilala.,,,,,,,,,,,,,1451792,"GROUP: N/A # FORM: Relativt pronomen / Konjunktion # FREQ: 10 # NUANCE: Functions as a connector to introduce subordinate clauses describing a noun or to make comparisons. It is one of the most versatile words in Swedish # PART: N/A # COLL: En person som, precis som, som om, såväl som # REG: Allmän # REFL: N/A # ERR: Learners often forget the subordinate clause word order (BIFF rule) after som or incorrectly use 'vilket' when referring to a person",,,
Kelly List,Set 01,0001 to 0050,Pronoun,Som,Det är en vän som jag litar på.,"that, which, who",This is a friend that I trust.,"que, el cual, quien",Es un amigo en quien confío.,"که, کَسیکه, آنچه",او دوستی است که من به او اعتماد دارم.,"που, ο οποίος, η οποία",Είναι ένας φίλος που εμπιστεύομαι.,"що, який, котрий","Це друг, якому я довіряю.","который, что, кто","Это друг, которому я доверяю.","जो, जिसे, जिसने",यह एक दोस्त है जिस पर मैं भरोसा करता हूँ।,"যে, যা, যিনি",এটি এমন একজন বন্ধু যাকে আমি বিশ্বাস করি।,"që, i cili, e cila",Ky është një mik tek i cili besoj.,"ki, hangi, -an/-en","Bu, güvendiğim bir arkadaştır.","yang, mana, siapa",Ini adalah kawan yang saya percayai.,"na, na siyang, na si",Ito ay isang kaibigang pinagkakatiwalaan ko.,,,,,,,,,,,,,1451792,"GROUP: N/A # FORM: Relativt pronomen # FREQ: 10 # NUANCE: Fungerar som ett bindeord som syftar tillbaka på ett substantiv eller pronomen i huvudsatsen för att ge mer information. Det kan referera till både personer och ting och kan användas som både subjekt och objekt i bisatsen. # PART: N/A # COLL: Den som, det som, de som, precis som # REG: Allmän # REFL: N/A # ERR: Elever glömmer ofta att 'som' inte kan utelämnas när det fungerar som subjekt i bisatsen. De förväxlar det även ibland med 'att' vid översättning från språk där samma ord används för båda funktionerna.",,,
